terminalId,terminalCode,shopName,category,shopType,shopAddress,location,adminId,creater,confirmStatus,terminalStatus,cityCode,cityName,shopManagerName,managerCode,managerName,soleTraderCode,soleTraderName,salesmanCode,salesmanName,terminalClusterCode,contactPhone,createrTime,locatedType,locatedTime,pname,cname,vname,dname,address-gd
ebabf72ea42043f1bcdad80f3c32c0a2,230102Z230102ZLS002004,哈尔滨人民同泰医药连锁店康全分店,1,3,道里区康安路79号,"[126.60878927054,45.744691263564]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,闫湘月,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13845169763,2016-02-20T06:25:18.000Z,,,,,,,
a30990de350c49a3babd239a21eebb60,230102Z230102ZLS002040,哈尔滨人民同泰医药连锁店井街分店,1,3,友谊路49号,"[126.63236102721,45.785720123074]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,孟红英,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13946160605,2016-02-20T06:22:19.000Z,,,,,,,
dd6be953fd7e4236b2a65a47c4a0141a,230102Z230102ZLS002007,哈尔滨人民同泰医药连锁店新宏泰分店,1,3,哈尔滨道里区透笼街92号,"[126.63116241727,45.7752767973]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,尚君,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,15545011677,2016-02-20T06:16:55.000Z,,,,,,,
c9201a1adc3b46bfb423f41480f38a67,230102Z230102ZLS002029,哈尔滨人民同泰医药连锁店钢铁分店,1,3,道理区钢铁街7号,"[126.6015151761,45.750652907183]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,柴玲,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13613664529,2016-02-20T06:00:20.000Z,,,,,,,
e7e91994f1094f1583b8651d0e7c3fcf,230102Z230102ZLS002021,哈尔滨人民同泰医药连锁店通顺分店,1,3,哈尔滨市道里区通顺街32号,"[126.60194040877,45.742293517881]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,刘羽,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,15326616919,2016-02-20T05:58:33.000Z,,,,,,,
da85e1de8e8b4579bb85d250b5252c0b,230102Z230102ZLS002045,哈尔滨人民同泰医药连锁店红霞分店,1,3,哈尔滨市道里区经纬街272号,"[126.61566703978,45.777427805164]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,郭妍,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,18686874968,2016-02-20T05:57:33.000Z,,,,,,,
c56e5ca3e31f437da76f5809e952828d,230102Z230102ZLS002030,哈尔滨人民同泰医药连锁店爱国分店,1,3,哈尔滨市道里区安国街138号,"[126.77191443366,47.631056415426]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",2,1,230102,黑龙江省哈尔滨市道里区,陶倩伟,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13125989006,2016-02-20T05:55:01.000Z,g,2017-03-22T15:00:16.000Z,,,,,
c497e6f051f444cd9143e22546a4b376,230102Z230102ZLS002011,哈尔滨人民同泰医药连锁店贝尔分店,1,3,哈尔滨市道里区工程街76-80号,"[126.61301600547,45.779976188474]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,姜翠竹,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13766836288,2016-02-20T05:49:54.000Z,,,,,,,
5046583ada8547b29e23e9350a252c3d,230102Z230102ZLS002034,哈尔滨人民同泰医药连锁店地段分店,1,3,哈市道里区地段街136号,"[126.63383847746,45.77825412271]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,韩蕾,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13945078687,2016-02-20T05:44:55.000Z,,,,,,,
c0ee6410ebd244b587de326698a4ba1c,230102Z230102ZLS002044,哈尔滨人民同泰医药连锁店康泰永安店,1,3,哈道里区中央大街18号,"[126.65771685545,45.773224633239]",54a0be656eb4ecb727cb0d10,"{""loginName"":""admin"",""userGuid"":""54a0be656eb4ecb727cb0d10""}",1,1,230102,黑龙江省哈尔滨市道里区,张洪波,,,SY001552,哈尔滨人民同泰医药连锁店,,,230102Z,13804516697,2016-02-20T05:27:12.000Z,,,,,,,
